x,y,theta,v
1.34076,4.51829,1.4544,0.329415
1.34266,4.53462,1.4544,0.328753
1.34457,4.55091,1.4544,0.328091
1.34647,4.56717,1.4544,0.327431
1.34837,4.5834,1.4544,0.326772
1.35026,4.59959,1.4544,0.326115
1.35215,4.61576,1.4544,0.325458
1.35404,4.63189,1.4544,0.324803
1.35592,4.64798,1.4544,0.32415
1.3578,4.66405,1.4544,0.323498
1.35967,4.68008,1.4544,0.322847
1.36154,4.69608,1.4544,0.322197
1.36341,4.71205,1.4544,0.321549
1.36527,4.72799,1.4544,0.320902
1.36713,4.74389,1.4544,0.320256
1.36899,4.75977,1.4544,0.319612
1.37084,4.77561,1.4544,0.318969
1.37269,4.79142,1.4544,0.318327
1.37454,4.80719,1.4544,0.317686
1.37638,4.82294,1.4544,0.317047
1.37821,4.83865,1.4544,0.316409
1.38005,4.85433,1.4544,0.315772
1.38188,4.86998,1.4544,0.315137
1.3837,4.8856,1.4544,0.314503
1.38553,4.90119,1.4544,0.31387
1.38735,4.91674,1.4544,0.313238
1.38916,4.93227,1.4544,0.312608
1.39097,4.94776,1.4544,0.311979
1.39278,4.96323,1.4544,0.311351
1.39458,4.97866,1.4544,0.310725
1.39638,4.99406,1.4544,0.3101
1.39818,5.00943,1.4544,0.309476
1.39998,5.02476,1.4544,0.308853
1.40177,5.04007,1.4544,0.308231
1.40355,5.05535,1.4544,0.307611
1.40533,5.07059,1.4544,0.306992
1.40711,5.08581,1.4544,0.306375
1.40889,5.10099,1.4544,0.305758
1.41066,5.11615,1.4544,0.305143
1.41243,5.13127,1.4544,0.304529
1.41419,5.14636,1.4544,0.303916
1.41595,5.16143,1.4544,0.303305
1.41771,5.17646,1.4544,0.302694
1.41947,5.19146,1.4544,0.302085
1.42122,5.20643,1.4544,0.301477
1.42296,5.22137,1.4544,0.300871
1.42471,5.23629,1.4544,0.300265
1.42645,5.25117,1.4544,0.299661
1.42818,5.26602,1.4544,0.299058
1.42992,5.28084,1.4544,0.298456
1.43165,5.29563,1.4544,0.297856
1.43337,5.31039,1.4544,0.297257
1.4351,5.32513,1.4544,0.296658
1.43681,5.33983,1.4544,0.296061
1.43853,5.3545,1.4544,0.295466
1.44024,5.36915,1.4544,0.294871
1.44195,5.38376,1.4544,0.294278
1.44366,5.39835,1.4544,0.293686
1.44536,5.4129,1.4544,0.293095
1.44706,5.42743,1.4544,0.292505
1.44875,5.44193,1.4544,0.291916
1.45044,5.45639,1.4544,0.291329
1.45213,5.47083,1.4544,0.290743
1.45382,5.48524,1.4544,0.290158
1.4555,5.49962,1.4544,0.289574
1.45718,5.51397,1.4544,0.288991
1.45885,5.5283,1.4544,0.28841
1.46052,5.54259,1.4544,0.28783
1.46219,5.55686,1.4544,0.28725
1.46386,5.57109,1.4544,0.286672
1.46552,5.5853,1.4544,0.286096
1.46717,5.59948,1.4544,0.28552
1.46883,5.61363,1.4544,0.284945
1.47048,5.62775,1.4544,0.284372
1.47213,5.64185,1.4544,0.2838
1.47377,5.65591,1.4544,0.283229
1.47541,5.66995,1.4544,0.282659
1.47705,5.68396,1.4544,0.28209
1.47869,5.69794,1.4544,0.281522
1.48032,5.71189,1.4544,0.280956
1.48195,5.72582,1.4544,0.280391
1.48357,5.73971,1.4544,0.279826
1.48519,5.75358,1.4544,0.279263
1.48681,5.76742,1.4544,0.278701
1.48843,5.78124,1.4544,0.278141
1.49004,5.79502,1.4544,0.277581
1.49165,5.80878,1.4544,0.277022
1.49325,5.82251,1.4544,0.276465
1.49485,5.83621,1.4544,0.275909
1.49645,5.84989,1.4544,0.275354
1.49805,5.86353,1.4544,0.2748
1.49964,5.87715,1.4544,0.274247
1.50123,5.89074,1.4544,0.273695
1.50282,5.90431,1.4544,0.273144
1.5044,5.91785,1.4544,0.272594
1.50598,5.93136,1.4544,0.272046
1.50756,5.94484,1.4544,0.271499
1.50913,5.9583,1.4544,0.270952
1.5107,5.97173,1.4544,0.270407
