position_error,angular_error
1.98141,-3.26918e-11
1.96737,-3.08116e-11
1.95335,-2.90861e-11
1.93936,-2.7504e-11
1.92539,-2.60518e-11
1.91146,-2.47189e-11
1.89755,-2.34013e-11
1.88367,-2.22464e-11
1.86982,-2.11484e-11
1.856,-2.01628e-11
1.8422,-1.92399e-11
1.82843,-1.84008e-11
1.81469,-1.76212e-11
1.80098,-1.69067e-11
1.7873,-1.6245e-11
1.77364,-1.56359e-11
1.76001,-1.50717e-11
1.74641,-1.4551e-11
1.73283,-1.40687e-11
1.71928,-1.3622e-11
1.70576,-1.32074e-11
1.69227,-1.28224e-11
1.67881,-1.24649e-11
1.66537,-1.21321e-11
1.65195,-1.18219e-11
1.63857,-1.15326e-11
1.62521,-1.12623e-11
1.61188,-1.10096e-11
1.59858,-1.07727e-11
1.5853,-1.05509e-11
1.57205,-1.03422e-11
1.55882,-1.01459e-11
1.54563,-9.96092e-12
1.53246,-9.78617e-12
1.51931,-9.62097e-12
1.50619,-9.45755e-12
1.4931,-9.15401e-12
1.48004,-8.97016e-12
1.467,-8.69349e-12
1.45398,-8.44613e-12
1.441,-8.20854e-12
1.42804,-7.99139e-12
1.4151,-7.78511e-12
1.4022,-7.59393e-12
1.38931,-7.41363e-12
1.37646,-7.24487e-12
1.36363,-7.085e-12
1.35082,-6.93401e-12
1.33804,-6.85252e-12
1.32529,-6.7415e-12
1.31256,-6.65556e-12
1.29986,-6.55964e-12
1.28718,-6.47637e-12
1.27453,-6.39044e-12
1.26191,-6.31162e-12
1.24931,-6.23279e-12
1.23673,-6.15863e-12
1.22418,-6.08558e-12
1.21166,-6.01563e-12
1.19916,-5.94746e-12
1.18669,-5.8813e-12
1.17424,-5.81712e-12
1.16181,-5.75429e-12
1.14942,-5.69367e-12
1.13704,-5.63394e-12
1.12469,-5.57621e-12
1.11237,-5.51936e-12
1.10007,-5.4643e-12
1.0878,-5.40989e-12
1.07555,-5.35683e-12
1.06332,-5.30487e-12
1.05112,-5.16565e-12
1.03894,-5.07283e-12
1.02679,-4.95937e-12
1.01467,-4.86899e-12
1.00256,-4.77196e-12
0.990485,-4.68758e-12
0.978455,-1.16497e-10
0.966497,-1.69741e-10
0.954629,-2.264e-10
0.942864,-2.48974e-10
0.931212,-2.68449e-10
0.919679,-2.70239e-10
0.908271,-2.69121e-10
0.89699,-2.59417e-10
0.885838,-2.48134e-10
0.874816,-2.33111e-10
0.863926,-2.17654e-10
0.853166,-2.00959e-10
0.842537,-1.8457e-10
0.832037,-1.68185e-10
0.821666,-1.52507e-10
0.811423,-1.37408e-10
0.801307,-1.2319e-10
0.791315,-1.09778e-10
0.781448,-9.72826e-11
0.771703,-8.56439e-11
0.762079,-7.4881e-11
0.752575,-6.48872e-11
0.743189,-5.56e-11
0.73392,-4.71423e-11
0.724767,-3.93581e-11
0.715727,-3.22753e-11
0.706801,-2.56772e-11
0.697985,-1.96638e-11
0.68928,-1.42186e-11
0.680683,-9.28102e-12
0.672193,-4.82481e-12
0.663809,-7.61613e-13
0.65553,2.90723e-12
0.647353,6.18838e-12
0.639279,9.13025e-12
0.631306,1.17499e-11
0.623432,1.4081e-11
0.615656,1.61429e-11
0.607977,1.79614e-11
0.600394,1.95548e-11
0.592906,2.0945e-11
0.585511,2.21494e-11
0.578208,2.31848e-11
0.570996,2.40787e-11
0.563874,2.4897e-11
0.556841,2.5532e-11
0.549896,2.6076e-11
0.543037,2.6487e-11
0.536264,2.68108e-11
0.529576,2.70326e-11
0.522971,2.71778e-11
0.516448,2.72293e-11
0.510006,2.72014e-11
0.503645,2.71245e-11
0.497363,2.6988e-11
0.49116,2.68086e-11
0.485034,2.65836e-11
0.478984,2.63229e-11
0.47301,2.60274e-11
0.467111,2.5703e-11
0.461284,2.53546e-11
0.455531,2.49858e-11
0.449849,2.45994e-11
0.444239,2.41973e-11
0.438698,2.37825e-11
0.433226,2.33566e-11
0.427823,2.2921e-11
0.422487,2.24787e-11
0.417217,2.20299e-11
0.412013,2.15774e-11
0.406874,2.11218e-11
0.4018,2.06639e-11
0.396788,2.02058e-11
0.391839,1.97475e-11
0.386952,1.9291e-11
0.382126,1.88358e-11
0.37736,1.83835e-11
0.372653,1.79345e-11
0.368005,1.7494e-11
0.363415,1.7061e-11
0.358882,1.66356e-11
0.354406,1.62184e-11
0.349986,1.58091e-11
0.345621,1.54066e-11
0.34131,1.50122e-11
0.337053,1.46192e-11
0.332849,1.42353e-11
0.328697,1.38594e-11
0.324598,1.34917e-11
0.320549,1.31322e-11
0.316551,1.27807e-11
0.312603,1.24372e-11
0.308704,1.21012e-11
0.304853,1.17737e-11
0.301051,1.14617e-11
0.297296,1.11593e-11
0.293588,1.08693e-11
0.289926,1.05891e-11
0.28631,1.03193e-11
0.282739,1.00582e-11
0.279213,9.80638e-12
0.27573,9.56257e-12
0.272291,9.32654e-12
0.268895,9.09894e-12
0.265541,8.87757e-12
0.262229,8.66285e-12
0.258958,8.45457e-12
0.255729,8.25273e-12
0.252539,8.05689e-12
0.249389,7.8666e-12
0.246279,7.68097e-12
0.243207,7.50155e-12
0.240174,7.32592e-12
0.237178,7.15583e-12
0.23422,6.98974e-12
0.231298,6.82832e-12
0.228413,6.67066e-12
0.225565,6.5179e-12
0.222751,6.36846e-12
0.219973,6.2228e-12
0.217229,6.08025e-12
0.21452,5.94169e-12
0.211844,5.80513e-12
0.209202,5.67346e-12
0.206593,5.54379e-12
0.204016,5.41656e-12
0.201471,5.29266e-12
0.198958,5.1712e-12
0.196477,5.05374e-12
0.194026,4.93805e-12
0.191606,4.82525e-12
0.189217,4.71467e-12
0.186857,4.6072e-12
0.184526,4.50129e-12
0.182224,4.39804e-12
0.179952,4.29767e-12
0.177707,4.19842e-12
0.175491,4.10316e-12
0.173302,4.00813e-12
0.17114,3.91664e-12
0.169006,3.82561e-12
0.166898,3.73723e-12
0.164816,3.65152e-12
0.16276,3.56648e-12
0.16073,3.48477e-12
0.158726,3.40372e-12
0.156746,3.32578e-12
0.154791,3.24829e-12
0.15286,3.17435e-12
0.150954,3.10063e-12
0.149071,3.02935e-12
0.147212,2.95897e-12
0.145376,2.89102e-12
0.143562,2.82396e-12
0.141772,2.75935e-12
0.140004,2.69584e-12
0.138257,2.63345e-12
0.136533,2.57261e-12
0.13483,2.51354e-12
0.133148,2.45537e-12
0.131488,2.39853e-12
0.129848,2.34279e-12
0.128228,2.28861e-12
0.126629,2.23621e-12
0.125049,2.18403e-12
0.12349,2.13385e-12
0.121949,2.085e-12
0.120428,2.03615e-12
0.118926,1.98819e-12
0.117443,1.942e-12
0.115978,1.89737e-12
0.114532,1.85429e-12
0.113103,1.811e-12
0.111692,1.76925e-12
0.110299,1.72795e-12
0.108924,1.68776e-12
0.107565,1.64779e-12
0.106223,1.60938e-12
0.104899,1.5703e-12
0.10359,1.53433e-12
0.102298,1.4968e-12
0.101022,1.4615e-12
0.0997622,1.4273e-12
7.88138,-2.53901
7.87547,-0.635769
7.87658,-1.66503
7.8664,-0.848747
7.85975,-1.19261
7.84638,-0.835138
7.83354,-0.926376
7.81695,-0.73902
7.79983,-0.74259
7.78058,-0.630861
7.76062,-0.605042
7.73943,-0.531381
7.71762,-0.4974
7.69509,-0.444569
7.6721,-0.410883
7.64867,-0.370649
7.62493,-0.340291
7.60092,-0.308465
7.57672,-0.282214
7.55235,-0.256476
7.52787,-0.234221
7.5033,-0.213147
7.47867,-0.194466
7.45399,-0.177095
7.42929,-0.161493
7.40457,-0.147123
7.37985,-0.134127
7.35514,-0.122217
7.33045,-0.111406
7.30577,-0.101525
7.28112,-0.092538
7.2565,-0.0843352
7.23192,-0.0768676
7.20737,-0.0700562
7.18286,-0.063852
7.15838,-0.0581952
7.13396,-0.0530412
7.10957,-0.0483428
7.08523,-0.0440614
7.06093,-0.0401588
7.03668,-0.0366023
7.01247,-0.0333607
6.98831,-0.0304064
6.9642,-0.0277136
6.94013,-0.0252595
6.91611,-0.0230228
6.89214,-0.0209842
6.86822,-0.0191261
6.84434,-0.0174326
6.82051,-0.0158891
6.79673,-0.0144824
6.77299,-0.0132002
6.74931,-0.0120315
6.72567,-0.0109664
6.70207,-0.00999559
6.67853,-0.00911075
6.65503,-0.00830426
6.63158,-0.00756919
6.60817,-0.0068992
6.58482,-0.00628854
6.56151,-0.00573195
6.53824,-0.00522464
6.51503,-0.00476224
6.49186,-0.00434078
6.46873,-0.00395663
6.44566,-0.00360649
6.42263,-0.00328735
6.39964,-0.00299646
6.3767,-0.00273131
6.35381,-0.00248964
6.33097,-0.00226936
6.30817,-0.00206857
6.28541,-0.00188556
6.2627,-0.00171874
6.24004,-0.00156669
6.21743,-0.00142809
6.19485,-0.00130222
6.17233,-0.00118672
6.14985,-0.00108215
6.12741,-0.000987318
6.10502,-0.000901767
6.08268,-0.000824612
6.06038,-0.000755208
6.03812,-0.000692835
6.01591,-0.000636874
5.99375,-0.000587078
5.97163,-0.00054262
5.94955,-0.000503023
5.92752,-0.000467743
5.90553,-0.000436365
5.88359,-0.000408482
5.86169,-0.00038375
5.83983,-0.000361848
5.81802,-0.000342494
5.79625,-0.000325429
5.77453,-0.000310419
5.75285,-0.000297253
5.73122,-0.00028574
5.70962,-0.000275706
5.68808,-0.000266994
5.66657,-0.000259461
5.64511,-0.000252977
5.62369,-0.000247427
5.60231,-0.000242703
5.58098,-0.000238708
5.55969,-0.000235341
5.53844,-0.000232472
5.51724,-0.000229873
5.49608,-0.000227545
5.47496,-0.000225549
5.45388,-0.000223861
5.43285,-0.000222463
5.41186,-0.00022132
5.39091,-0.000220401
5.37,-0.000219669
5.34913,-0.000219095
5.32831,-0.000218629
5.30753,-0.000218239
5.28679,-0.000217915
5.26609,-0.000217634
5.24544,-0.000217383
5.22482,-0.000217144
5.20425,-0.000216902
5.18372,-0.000216642
5.16322,-0.000216351
5.14278,-0.000216018
5.12237,-0.00021563
5.102,-0.000215177
5.08167,-0.000214665
5.06139,-0.000214077
5.04114,-0.000213409
5.02094,-0.000212642
5.00078,-0.000211772
4.98065,-0.000210792
4.96057,-0.000209698
4.94053,-0.000208484
4.92053,-0.000207149
4.90057,-0.000205688
4.88065,-0.0002041
4.86076,-0.000202383
4.84092,-0.000200535
4.82112,-0.000198555
4.80136,-0.000196441
4.78164,-0.000194193
4.76196,-0.00019181
4.74232,-0.000187127
4.72271,-0.000182318
4.70315,-0.000176124
4.68362,-0.00016953
4.66414,-0.000162247
4.64469,-0.000154675
4.62529,-0.000146809
4.60592,-0.000138852
4.58659,-0.000130871
4.5673,-0.000122993
4.54805,-0.000115333
4.52884,-0.000107957
4.50967,-0.000100944
4.49053,-9.435e-05
4.47143,-8.82354e-05
4.45238,-8.26467e-05
4.43336,-7.76245e-05
4.41437,-7.32127e-05
4.39543,-6.94142e-05
4.37653,-6.60954e-05
4.35766,-6.30372e-05
4.33883,-6.01451e-05
4.32004,-5.73127e-05
4.30129,-5.44125e-05
4.28257,-5.15134e-05
