position_error,angular_error
2.82704,-2.09942e-06
2.81129,-2.11168e-06
2.79557,-2.11644e-06
2.77988,-2.12463e-06
2.76423,-2.12965e-06
2.7486,-2.13565e-06
2.73301,-2.14022e-06
2.71745,-2.14737e-06
2.70192,-2.15255e-06
2.68643,-2.158e-06
2.67096,-2.16242e-06
2.65553,-2.16673e-06
2.64012,-2.17048e-06
2.62475,-2.17405e-06
2.60941,-2.17731e-06
2.59409,-2.18041e-06
2.57881,-2.18335e-06
2.56356,-2.18621e-06
2.54834,-2.189e-06
2.53316,-2.19177e-06
2.518,-2.19455e-06
2.50287,-2.19737e-06
2.48777,-2.20027e-06
2.47271,-2.20326e-06
2.45767,-2.20637e-06
2.44266,-2.2109e-06
2.42769,-2.21648e-06
2.41274,-2.22166e-06
2.39783,-2.22709e-06
2.38294,-2.23237e-06
2.36809,-2.23779e-06
2.35326,-2.24705e-06
2.33846,-2.26296e-06
2.3237,-2.27498e-06
2.30896,-2.28809e-06
2.29425,-2.29915e-06
2.27958,-2.3122e-06
2.26493,-2.3358e-06
2.25031,-2.35344e-06
2.23572,-2.37232e-06
2.22116,-2.38747e-06
2.20663,-2.40201e-06
2.19213,-2.41427e-06
2.17766,-2.42552e-06
2.16322,-2.44324e-06
2.1488,-2.46267e-06
2.13442,-2.47832e-06
2.12006,-2.49163e-06
2.10574,-2.50383e-06
2.09144,-2.51403e-06
2.07717,-2.52227e-06
2.06293,-2.52897e-06
2.04872,-2.53415e-06
2.03453,-2.53803e-06
2.02038,-2.54068e-06
2.00625,-2.5432e-06
1.99215,-2.54431e-06
1.97808,-2.5458e-06
1.96404,-2.5462e-06
1.95003,-2.54577e-06
1.93605,-2.5444e-06
1.92209,-2.54247e-06
1.90816,-2.53979e-06
1.89426,-2.53644e-06
1.88039,-2.53246e-06
1.86654,-2.52793e-06
1.85273,-2.52288e-06
1.83894,-2.51738e-06
1.82518,-2.51147e-06
1.81144,-2.50519e-06
1.79774,-2.49859e-06
1.78406,-2.49169e-06
1.77041,-2.48453e-06
1.75679,-2.47714e-06
1.74319,-2.46963e-06
1.72962,-2.46193e-06
1.71608,-2.4541e-06
1.70257,-2.44613e-06
1.68908,-2.43806e-06
1.67562,-2.42989e-06
1.66219,-2.42164e-06
1.64878,-2.41332e-06
1.6354,-2.40495e-06
1.62205,-2.39653e-06
1.60873,-2.38807e-06
1.59543,-2.37959e-06
1.58216,-2.37109e-06
1.56891,-2.36258e-06
1.5557,-2.35406e-06
1.54251,-2.34554e-06
1.52934,-2.33703e-06
1.5162,-2.32853e-06
1.50309,-2.32004e-06
1.49001,-2.31158e-06
1.47695,-2.30313e-06
1.46391,-2.29472e-06
1.45091,-2.28633e-06
1.43793,-2.27797e-06
1.42497,-2.26967e-06
1.41204,-2.2614e-06
1.39914,-2.25317e-06
1.38627,-2.24497e-06
1.37342,-2.23682e-06
1.36059,-2.2287e-06
1.34779,-2.22063e-06
1.33502,-2.21259e-06
1.32227,-2.20461e-06
1.30955,-2.19667e-06
1.29686,-2.18877e-06
1.28419,-2.18092e-06
1.27154,-2.17313e-06
1.25892,-2.16646e-06
1.24633,-2.15977e-06
1.23376,-2.15312e-06
1.22122,-2.14642e-06
1.2087,-2.13972e-06
1.1962,-2.133e-06
1.18374,-2.12628e-06
1.17129,-2.11955e-06
1.15888,-2.11282e-06
1.14648,-2.1061e-06
1.13412,-2.09818e-06
1.12177,-2.08602e-06
1.10945,-2.07638e-06
1.09716,-2.06519e-06
1.08489,-2.05577e-06
1.07265,-2.0462e-06
1.06043,-2.03506e-06
1.04823,-2.01228e-06
1.03606,-1.99302e-06
1.02392,-1.97088e-06
1.0118,-1.95084e-06
0.999701,-1.93011e-06
0.987629,-2.17712e-06
0.975613,-1.72512e-05
0.963673,-4.01076e-05
0.951828,-6.97117e-05
0.940088,-9.92676e-05
0.928463,-0.000126636
0.916959,-0.000149474
0.905579,-0.000167311
0.894328,-0.000179931
0.883207,-0.000187818
0.872216,-0.000191524
0.861357,-0.000191747
0.850628,-0.000189158
0.840029,-0.000184302
0.82956,-0.000177703
0.81922,-0.000169821
0.809007,-0.000161083
0.79892,-0.000151845
0.788958,-0.000142378
0.77912,-0.000132872
0.769404,-0.000123366
0.759809,-0.000114116
0.750333,-0.000105178
0.740975,-9.66585e-05
0.731734,-8.85865e-05
0.722608,-8.09973e-05
0.713595,-7.38927e-05
0.704695,-6.7262e-05
0.695906,-6.09545e-05
0.687226,-5.5097e-05
0.678655,-4.95928e-05
0.670191,-4.44313e-05
0.661832,-3.96658e-05
0.653577,-3.52743e-05
0.645425,-3.12589e-05
0.637375,-2.75937e-05
0.629425,-2.42631e-05
0.621575,-2.12416e-05
0.613822,-1.85086e-05
0.606166,-1.60405e-05
0.598606,-1.38169e-05
0.59114,-1.18169e-05
0.583767,-1.00218e-05
0.576486,-8.41361e-06
0.569296,-6.97594e-06
0.562195,-5.69341e-06
0.555183,-4.54921e-06
0.548258,-3.5296e-06
0.54142,-2.60606e-06
0.534667,-1.79767e-06
0.527999,-1.07303e-06
0.521413,-4.3707e-07
0.51491,1.26206e-07
0.508488,6.18257e-07
0.502145,1.05005e-06
0.495882,1.42287e-06
0.489697,1.74493e-06
0.48359,2.01943e-06
0.477558,2.25214e-06
0.471602,2.44652e-06
0.46572,2.62315e-06
0.459911,2.76927e-06
0.454175,2.89225e-06
0.44851,2.98875e-06
0.442916,3.10099e-06
0.437391,3.17645e-06
0.431936,3.24194e-06
0.426549,3.28061e-06
0.421229,3.30609e-06
0.415975,3.31267e-06
0.410786,3.30716e-06
0.405663,3.28804e-06
0.400603,3.25893e-06
0.395607,3.2199e-06
0.390672,3.17311e-06
0.3858,3.11914e-06
0.380988,3.05941e-06
0.376236,2.99461e-06
0.371543,2.92575e-06
0.366909,2.85332e-06
0.362333,2.77818e-06
0.357814,2.70309e-06
0.353351,2.62775e-06
0.348944,2.55297e-06
0.344591,2.47858e-06
0.340293,2.40499e-06
0.336049,2.33217e-06
0.331858,2.26036e-06
0.327719,2.18957e-06
0.323631,2.12118e-06
0.319595,2.05812e-06
0.315608,1.99475e-06
0.311672,1.93342e-06
0.307785,1.87216e-06
0.303946,1.81343e-06
0.300155,1.7581e-06
0.296411,1.70571e-06
0.292714,1.65628e-06
0.289063,1.60946e-06
0.285458,1.56513e-06
0.281897,1.52307e-06
0.278381,1.48313e-06
0.274909,1.44513e-06
0.27148,1.40896e-06
0.268094,1.3744e-06
0.26475,1.34116e-06
0.261448,1.30923e-06
0.258187,1.27846e-06
0.254967,1.24881e-06
0.251787,1.2202e-06
0.248647,1.19257e-06
0.245545,1.16586e-06
0.242483,1.14003e-06
0.239458,1.11501e-06
0.236472,1.09077e-06
0.233522,1.06727e-06
