x,y,theta,v
1.11813,4.88294,1.5348,0.367091
1.11879,4.90125,1.5348,0.366352
1.11944,4.91952,1.5348,0.365615
1.1201,4.93775,1.5348,0.364879
1.12075,4.95595,1.5348,0.364145
1.12141,4.97411,1.5348,0.363412
1.12206,4.99223,1.5348,0.362681
1.12271,5.01031,1.5348,0.361951
1.12336,5.02836,1.5348,0.361223
1.12401,5.04638,1.5348,0.360496
1.12466,5.06435,1.5348,0.359771
1.1253,5.08229,1.5348,0.359047
1.12595,5.1002,1.5348,0.358324
1.12659,5.11807,1.5348,0.357603
1.12723,5.1359,1.5348,0.356884
1.12788,5.1537,1.5348,0.356166
1.12851,5.17146,1.5348,0.355449
1.12915,5.18918,1.5348,0.354734
1.12979,5.20687,1.5348,0.35402
1.13043,5.22453,1.5348,0.353308
1.13106,5.24214,1.5348,0.352597
1.13169,5.25973,1.5348,0.351887
1.13233,5.27728,1.5348,0.351179
1.13296,5.29479,1.5348,0.350473
1.13359,5.31226,1.5348,0.349767
1.13421,5.32971,1.5348,0.349064
1.13484,5.34711,1.5348,0.348361
1.13547,5.36449,1.5348,0.34766
1.13609,5.38182,1.5348,0.346961
1.13671,5.39912,1.5348,0.346263
1.13733,5.41639,1.5348,0.345566
1.13796,5.43362,1.5348,0.344871
1.13857,5.45082,1.5348,0.344177
1.13919,5.46798,1.5348,0.343484
1.13981,5.48511,1.5348,0.342793
1.14043,5.50221,1.5348,0.342103
1.14104,5.51927,1.5348,0.341415
1.14165,5.53629,1.5348,0.340728
1.14226,5.55328,1.5348,0.340042
1.14288,5.57024,1.5348,0.339358
1.14348,5.58716,1.5348,0.338675
1.14409,5.60405,1.5348,0.337994
1.1447,5.62091,1.5348,0.337314
1.14531,5.63773,1.5348,0.336635
1.14591,5.65451,1.5348,0.335957
1.14651,5.67127,1.5348,0.335281
1.14712,5.68799,1.5348,0.334607
1.14772,5.70467,1.5348,0.333934
1.14832,5.72132,1.5348,0.333262
1.14891,5.73794,1.5348,0.332591
1.14951,5.75453,1.5348,0.331922
1.15011,5.77108,1.5348,0.331254
1.1507,5.7876,1.5348,0.330587
1.1513,5.80408,1.5348,0.329922
1.15189,5.82054,1.5348,0.329258
1.15248,5.83696,1.5348,0.328596
1.15307,5.85334,1.5348,0.327935
1.15366,5.8697,1.5348,0.327275
1.15425,5.88602,1.5348,0.326616
1.15483,5.9023,1.5348,0.325959
1.15542,5.91856,1.5348,0.325303
1.156,5.93478,1.5348,0.324649
1.15659,5.95097,1.5348,0.323995
1.15717,5.96713,1.5348,0.323343
1.15775,5.98325,1.5348,0.322693
1.15833,5.99934,1.5348,0.322043
1.15891,6.0154,1.5348,0.321395
1.15948,6.03143,1.5348,0.320749
1.16006,6.04742,1.5348,0.320103
1.16063,6.06339,1.5348,0.319459
1.16121,6.07932,1.5348,0.318816
1.16178,6.09521,1.5348,0.318175
1.16235,6.11108,1.5348,0.317535
1.16292,6.12692,1.5348,0.316896
1.16349,6.14272,1.5348,0.316258
1.16406,6.15849,1.5348,0.315622
1.16463,6.17423,1.5348,0.314987
1.16519,6.18994,1.5348,0.314353
1.16576,6.20561,1.5348,0.31372
1.16632,6.22126,1.5348,0.313089
1.16688,6.23687,1.5348,0.312459
1.16744,6.25245,1.5348,0.31183
1.168,6.268,1.5348,0.311203
1.16856,6.28352,1.5348,0.310577
1.16912,6.29901,1.5348,0.309952
1.16968,6.31446,1.5348,0.309328
1.17023,6.32989,1.5348,0.308706
1.17079,6.34528,1.5348,0.308085
1.17134,6.36065,1.5348,0.307465
1.17189,6.37598,1.5348,0.306846
1.17244,6.39128,1.5348,0.306228
1.17299,6.40655,1.5348,0.305612
1.17354,6.42179,1.5348,0.304997
1.17409,6.437,1.5348,0.304384
1.17463,6.45218,1.5348,0.303771
1.17518,6.46733,1.5348,0.30316
1.17572,6.48244,1.5348,0.30255
1.17627,6.49753,1.5348,0.301941
1.17681,6.51259,1.5348,0.301334
1.17735,6.52761,1.5348,0.300727
1.17789,6.54261,1.5348,0.300122
1.17843,6.55758,1.5348,0.299518
1.17897,6.57251,1.5348,0.298916
1.1795,6.58742,1.5348,0.298314
1.18004,6.6023,1.5348,0.297714
1.18058,6.61714,1.5348,0.297115
1.18111,6.63196,1.5348,0.296517
1.18164,6.64674,1.5348,0.29592
1.18217,6.6615,1.5348,0.295325
1.1827,6.67623,1.5348,0.294731
1.18323,6.69093,1.5348,0.294138
1.18376,6.70559,1.5348,0.293546
1.18429,6.72023,1.5348,0.292955
1.18481,6.73484,1.5348,0.292366
1.18534,6.74942,1.5348,0.291777
1.18586,6.76397,1.5348,0.29119
1.18639,6.77849,1.5348,0.290604
1.18691,6.79298,1.5348,0.29002
1.18743,6.80744,1.5348,0.289436
