acceleration,angular_velocity
-0.0133308,-6.48966e-07
-0.013304,-6.11638e-07
-0.0132772,-5.90335e-07
-0.0132505,-5.61428e-07
-0.0132238,-5.3913e-07
-0.0131972,-5.14671e-07
-0.0131707,-4.93263e-07
-0.0131442,-4.53445e-07
-0.0131177,-2.43961e-07
-0.0130913,-3.32234e-07
-0.013065,-1.63597e-07
-0.0130387,-1.14116e-07
-0.0130124,-1.73547e-07
-0.0129863,-3.15121e-07
-0.0129601,-2.41844e-07
-0.0129341,-2.82612e-07
-0.012908,-2.88944e-07
-0.0128821,-5.3827e-07
-0.0128561,-3.62547e-07
-0.0128303,-4.4231e-07
-0.0128044,-3.65005e-07
-0.0127787,-3.84289e-07
-0.012753,-3.45981e-07
-0.0127273,-1.90471e-07
-0.0127017,9.97615e-09
-0.0126761,-1.41452e-07
-0.0126506,-7.462e-08
-0.0126252,-1.39503e-07
-0.0125998,-1.2143e-07
-0.0125744,-1.51313e-07
-0.0125491,-1.01523e-07
-0.0125239,-1.42542e-07
-0.0124987,-1.38539e-07
-0.0124735,-1.6055e-07
-0.0124484,-1.64244e-07
-0.0124234,-1.7679e-07
-0.0123984,-1.81785e-07
-0.0123734,-1.89446e-07
-0.0123485,-1.93707e-07
-0.0123237,-1.9844e-07
-0.0122989,-2.01423e-07
-0.0122741,-2.04148e-07
-0.0122494,-2.05823e-07
-0.0122248,-2.0704e-07
-0.0122002,-2.07534e-07
-0.0121756,-2.07556e-07
-0.0121511,-2.07031e-07
-0.0121267,-2.06074e-07
-0.0121023,-1.79398e-07
-0.0120779,-1.60182e-07
-0.0120536,-1.69975e-07
-0.0120294,-1.66861e-07
-0.0120052,-1.71544e-07
-0.011981,-1.70562e-07
-0.0119569,-9.61232e-08
-0.0119329,3.3643e-08
-0.0119088,-4.70058e-08
-0.0118849,-2.79282e-08
-0.011861,-7.16532e-08
-0.0118371,-3.49743e-08
-0.0118133,1.7195e-07
-0.0117895,4.88814e-08
-0.0117658,6.99928e-08
-0.0117421,-7.99631e-09
-0.0117185,-2.3351e-08
-0.0116949,-7.22327e-08
-0.0116714,-9.52371e-08
-0.0116479,3.04076e-08
-0.0116245,6.04456e-08
-0.0116011,-1.8756e-08
-0.0115777,-6.90978e-08
-0.0115544,-9.44011e-08
-0.0115312,-1.37456e-07
-0.011508,-1.79185e-07
-0.0114848,-2.12776e-07
-0.0114617,-2.45584e-07
-0.0114386,-2.73902e-07
-0.0114156,-3.00511e-07
-0.0113927,-3.0527e-07
-0.0113697,-3.35367e-07
-0.0113469,-3.29664e-07
-0.011324,-3.53559e-07
-0.0113012,-3.71803e-07
-0.0112785,-3.9247e-07
-0.0112558,-4.05153e-07
-0.0112332,-4.21676e-07
-0.0112105,-4.36421e-07
-0.011188,-4.50512e-07
-0.0111655,-4.62952e-07
-0.011143,-4.74449e-07
-0.0111206,-4.84725e-07
-0.0110982,-4.94111e-07
-0.0110759,-5.02552e-07
-0.0110536,-5.10217e-07
-0.0110314,-5.17126e-07
-0.0110092,-5.23382e-07
-0.010987,-5.29024e-07
-0.0109649,-5.32507e-07
-0.0109428,-5.37219e-07
-0.0109208,-5.40861e-07
-0.0108988,-5.44586e-07
-0.0108769,-5.47692e-07
-0.010855,-5.50658e-07
-0.0108332,-5.53237e-07
-0.0108114,-5.5563e-07
-0.0107896,-5.57755e-07
-0.0107679,-5.59701e-07
-0.0107463,-5.6145e-07
-0.0107246,-5.63046e-07
-0.010703,-5.64492e-07
-0.0106815,-5.65813e-07
-0.01066,-5.67019e-07
-0.0106386,-5.68126e-07
-0.0106172,-5.69146e-07
-0.0105958,-5.70091e-07
-0.0105745,-5.70971e-07
-0.0105532,-5.71796e-07
-0.010532,-5.72573e-07
-0.0105108,-5.73313e-07
-0.0104896,-5.74021e-07
-0.0104685,-5.74706e-07
-0.0104475,-5.75074e-07
-0.0104264,-5.75638e-07
-0.0104055,-5.76415e-07
-0.0103845,-5.77097e-07
-0.0103636,-5.77837e-07
-0.0103428,-5.78541e-07
-0.010322,-5.79272e-07
-0.0103012,-5.79999e-07
-0.0102805,-5.80747e-07
-0.0102598,-5.81506e-07
-0.0102391,-5.82289e-07
-0.0102185,-5.83093e-07
-0.010198,-5.83924e-07
-0.0101774,-5.63406e-07
-0.010157,-5.65846e-07
-0.0101365,-5.67215e-07
-0.0101161,-5.70475e-07
-0.0100958,-5.72638e-07
-0.0100755,-5.75401e-07
-0.0100552,-5.77688e-07
-0.010035,-5.80179e-07
-0.0100148,-5.82466e-07
-0.00999461,-5.84818e-07
-0.0099745,-6.11211e-07
-0.00995443,-6.97251e-07
-0.0099344,-6.48757e-07
-0.00991441,-6.81463e-07
-0.00989446,-6.48214e-07
-0.00987455,-6.5331e-07
