Timestamp,Duty Cycle,Velocity (RPM),Position (ticks),Current (A),Temp (°C),Bus Voltage (V)
[T+00:01.65],0.0,0.0009336471557617188,-81.33633422851562,0.21875,28.0,15.140625
[T+00:01.87],0.0,0.0009336471557617188,-81.33633422851562,0.21875,28.0,15.140625
[T+00:02.07],0.0,0.0009336471557617188,-81.33633422851562,0.21875,28.0,15.140625
[T+00:02.27],0.0,0.0009336471557617188,-81.33633422851562,0.21875,28.0,15.125
[T+00:02.47],0.0,0.0009336471557617188,-81.3125228881836,0.21875,28.0,15.1171875
[T+00:02.69],0.249969482421875,1834.2867431640625,-81.3125228881836,46.21875,28.0,398.859375
[T+00:02.89],0.249969482421875,2685.71533203125,-63.04883575439453,0.71875,28.0,46.9296875
[T+00:03.09],0.249969482421875,3457.1435546875,-63.04883575439453,1.21875,28.0,78.921875
[T+00:03.29],0.249969482421875,3451.429443359375,-40.02340316772461,0.71875,28.0,46.8828125
[T+00:03.49],0.249969482421875,3462.857666015625,-25.02364730834961,1.21875,28.0,78.8359375
[T+00:03.71],0.249969482421875,3457.1435546875,-15.809511184692383,1.21875,28.0,78.8828125
[T+00:03.91],0.249969482421875,3457.1435546875,-3.166661262512207,0.71875,28.0,46.8671875
[T+00:04.11],-0.249969482421875,3457.1435546875,1.5000035762786865,0.71875,28.0,46.8671875
[T+00:04.31],-0.249969482421875,-3074.28515625,-13.28574275970459,11.21875,28.0,206.890625
[T+00:04.51],-0.249969482421875,-3508.57080078125,-25.02364730834961,30.71875,28.0,431.046875
[T+00:04.71],-0.249969482421875,-3508.57080078125,-40.21387481689453,2.21875,28.0,142.875
[T+00:04.91],-0.249969482421875,-3508.57080078125,-40.21387481689453,0.71875,28.0,46.8828125
[T+00:05.11],-0.249969482421875,-3508.57080078125,-54.262264251708984,0.71875,28.0,46.8828125
[T+00:05.31],-0.249969482421875,-3508.57080078125,-74.1689682006836,2.71875,28.0,174.8671875
[T+00:05.51],-0.249969482421875,-3514.28515625,-74.1689682006836,20.21875,28.0,270.984375
[T+00:05.73],-0.249969482421875,-3514.28515625,-94.0511703491211,1.21875,28.0,78.9296875
